measure,label,model,dataset,arch,pvp,nshot,sample,value,time_train,time_test,run,majority
Accuracy,Overall,roberta,ag,pet,qa,10,1,0.783026315789474,,,1,0.794078947368421
Accuracy,Overall,roberta,ag,pet,qa,10,1,0.769342105263158,,,2,0.794078947368421
Accuracy,Overall,roberta,ag,pet,qa,10,1,0.806315789473684,,,3,0.794078947368421
Accuracy,Overall,roberta,ag,pet,qa,10,1,0.769868421052632,,,4,0.794078947368421
Accuracy,Overall,roberta,ag,pet,qa,10,1,0.800263157894737,,,5,0.794078947368421
F1,0,roberta,ag,pet,qa,10,1,0.823589222165735,,,1,0.822966507177034
F1,0,roberta,ag,pet,qa,10,1,0.825105042016807,,,2,0.822966507177034
F1,0,roberta,ag,pet,qa,10,1,0.824485648971298,,,3,0.822966507177034
F1,0,roberta,ag,pet,qa,10,1,0.791823308270677,,,4,0.822966507177034
F1,0,roberta,ag,pet,qa,10,1,0.82466870540265,,,5,0.822966507177034
F1,1,roberta,ag,pet,qa,10,1,0.931700680272109,,,1,0.947227431020627
F1,1,roberta,ag,pet,qa,10,1,0.947143619861185,,,2,0.947227431020627
F1,1,roberta,ag,pet,qa,10,1,0.952507296365084,,,3,0.947227431020627
F1,1,roberta,ag,pet,qa,10,1,0.910659615919844,,,4,0.947227431020627
F1,1,roberta,ag,pet,qa,10,1,0.947424892703863,,,5,0.947227431020627
F1,2,roberta,ag,pet,qa,10,1,0.605523354926696,,,1,0.617050067658999
F1,2,roberta,ag,pet,qa,10,1,0.535976505139501,,,2,0.617050067658999
F1,2,roberta,ag,pet,qa,10,1,0.651282051282051,,,3,0.617050067658999
F1,2,roberta,ag,pet,qa,10,1,0.584872777971419,,,4,0.617050067658999
F1,2,roberta,ag,pet,qa,10,1,0.65653298835705,,,5,0.617050067658999
F1,3,roberta,ag,pet,qa,10,1,0.743237440961786,,,1,0.758149779735683
F1,3,roberta,ag,pet,qa,10,1,0.720032507110931,,,2,0.758149779735683
F1,3,roberta,ag,pet,qa,10,1,0.774577046181984,,,3,0.758149779735683
F1,3,roberta,ag,pet,qa,10,1,0.754573850959393,,,4,0.758149779735683
F1,3,roberta,ag,pet,qa,10,1,0.755385996409336,,,5,0.758149779735683
F1,Overall,roberta,ag,pet,qa,10,1,0.776012674581581,,,1,0.786348446398085
F1,Overall,roberta,ag,pet,qa,10,1,0.757064418532106,,,2,0.786348446398085
F1,Overall,roberta,ag,pet,qa,10,1,0.800713010700104,,,3,0.786348446398085
F1,Overall,roberta,ag,pet,qa,10,1,0.760482388280333,,,4,0.786348446398085
F1,Overall,roberta,ag,pet,qa,10,1,0.796003145718225,,,5,0.786348446398085
Precision,0,roberta,ag,pet,qa,10,1,0.79646017699115,,,1,0.788990825688074
Precision,0,roberta,ag,pet,qa,10,1,0.823375262054507,,,2,0.788990825688074
Precision,0,roberta,ag,pet,qa,10,1,0.796759941089838,,,3,0.788990825688074
Precision,0,roberta,ag,pet,qa,10,1,0.715195246179966,,,4,0.788990825688074
Precision,0,roberta,ag,pet,qa,10,1,0.799407114624506,,,5,0.788990825688074
Precision,1,roberta,ag,pet,qa,10,1,0.964507042253521,,,1,0.964539007092199
Precision,1,roberta,ag,pet,qa,10,1,0.960996749729144,,,2,0.964539007092199
Precision,1,roberta,ag,pet,qa,10,1,0.960406634563938,,,3,0.964539007092199
Precision,1,roberta,ag,pet,qa,10,1,0.966331955109274,,,4,0.964539007092199
Precision,1,roberta,ag,pet,qa,10,1,0.966083150984683,,,5,0.964539007092199
