measure,label,model,dataset,arch,pvp,sampling,nshot,sample,value,time_train,time_test,run,majority
Accuracy,Overall,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.282,12.0151963233948,19.56369805336,1,0.265
Accuracy,Overall,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.285,12.0164906978607,20.1971929073334,2,0.265
Accuracy,Overall,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.231,12.0194184780121,20.1062223911285,3,0.265
Accuracy,Overall,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.255,12.0177159309387,20.0630574226379,4,0.265
Accuracy,Overall,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.249,12.016615152359,20.2247447967529,5,0.265
F1,Overall,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.271585866694491,12.0151963233948,19.56369805336,1,0.2436558096351
F1,Overall,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.268945897705516,12.0164906978607,20.1971929073334,2,0.2436558096351
F1,Overall,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.187950805625952,12.0194184780121,20.1062223911285,3,0.2436558096351
F1,Overall,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.239482628455339,12.0177159309387,20.0630574226379,4,0.2436558096351
F1,Overall,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.210546825399816,12.016615152359,20.2247447967529,5,0.2436558096351
F1,argumentagainst,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.201298701298701,12.0151963233948,19.56369805336,1,0.1875
F1,argumentagainst,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.174242424242424,12.0164906978607,20.1971929073334,2,0.1875
F1,argumentagainst,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.125461254612546,12.0194184780121,20.1062223911285,3,0.1875
F1,argumentagainst,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.168674698795181,12.0177159309387,20.0630574226379,4,0.1875
F1,argumentagainst,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.132743362831858,12.016615152359,20.2247447967529,5,0.1875
F1,argumentfor,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.349799732977303,12.0151963233948,19.56369805336,1,0.353790613718412
F1,argumentfor,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.339818417639429,12.0164906978607,20.1971929073334,2,0.353790613718412
F1,argumentfor,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.355362946912243,12.0194184780121,20.1062223911285,3,0.353790613718412
F1,argumentfor,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.340540540540541,12.0177159309387,20.0630574226379,4,0.353790613718412
F1,argumentfor,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.342733188720174,12.016615152359,20.2247447967529,5,0.353790613718412
F1,claimagainst,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.351758793969849,12.0151963233948,19.56369805336,1,0.274725274725275
F1,claimagainst,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.342298288508557,12.0164906978607,20.1971929073334,2,0.274725274725275
F1,claimagainst,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.174825174825175,12.0194184780121,20.1062223911285,3,0.274725274725275
F1,claimagainst,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.271356783919598,12.0177159309387,20.0630574226379,4,0.274725274725275
F1,claimagainst,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.20253164556962,12.016615152359,20.2247447967529,5,0.274725274725275
F1,claimfor,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.18348623853211,12.0151963233948,19.56369805336,1,0.158607350096712
