measure,label,model,dataset,arch,pvp,sampling,nshot,sample,value,time_train,time_test,run,majority
Accuracy,Overall,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.266,16.3114836215973,51.8702046871185,1,0.271
Accuracy,Overall,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.389,16.346645116806,52.0136156082153,2,0.271
Accuracy,Overall,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.232,16.3467164039612,51.9602880477905,3,0.271
Accuracy,Overall,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.337,16.3405411243439,51.9759256839752,4,0.271
Accuracy,Overall,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.182,16.3603174686432,52.0646119117737,5,0.271
F1,Overall,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.256091955459879,16.3114836215973,51.8702046871185,1,0.253427705956047
F1,Overall,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.373106659348922,16.346645116806,52.0136156082153,2,0.253427705956047
F1,Overall,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.223650579719599,16.3467164039612,51.9602880477905,3,0.253427705956047
F1,Overall,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.325585709839195,16.3405411243439,51.9759256839752,4,0.253427705956047
F1,Overall,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.0769881556683587,16.3603174686432,52.0646119117737,5,0.253427705956047
F1,argumentagainst,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.212201591511936,16.3114836215973,51.8702046871185,1,0.297482837528604
F1,argumentagainst,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.311926605504587,16.346645116806,52.0136156082153,2,0.297482837528604
F1,argumentagainst,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.217543859649123,16.3467164039612,51.9602880477905,3,0.297482837528604
F1,argumentagainst,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.329787234042553,16.3405411243439,51.9759256839752,4,0.297482837528604
F1,argumentagainst,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0,16.3603174686432,52.0646119117737,5,0.297482837528604
F1,argumentfor,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.294117647058824,16.3114836215973,51.8702046871185,1,0.351931330472103
F1,argumentfor,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.354330708661417,16.346645116806,52.0136156082153,2,0.351931330472103
F1,argumentfor,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.267190569744597,16.3467164039612,51.9602880477905,3,0.351931330472103
F1,argumentfor,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.289655172413793,16.3405411243439,51.9759256839752,4,0.351931330472103
F1,argumentfor,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.307952622673435,16.3603174686432,52.0646119117737,5,0.351931330472103
F1,claimagainst,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.198645598194131,16.3114836215973,51.8702046871185,1,0.143302180685358
F1,claimagainst,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.343023255813954,16.346645116806,52.0136156082153,2,0.143302180685358
F1,claimagainst,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.152866242038217,16.3467164039612,51.9602880477905,3,0.143302180685358
F1,claimagainst,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.25,16.3405411243439,51.9759256839752,4,0.143302180685358
F1,claimagainst,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0,16.3603174686432,52.0646119117737,5,0.143302180685358
F1,claimfor,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.319402985074627,16.3114836215973,51.8702046871185,1,0.220994475138122
F1,claimfor,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.48314606741573,16.346645116806,52.0136156082153,2,0.220994475138122
F1,claimfor,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.257001647446458,16.3467164039612,51.9602880477905,3,0.220994475138122
F1,claimfor,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.432900432900433,16.3405411243439,51.9759256839752,4,0.220994475138122
F1,claimfor,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0,16.3603174686432,52.0646119117737,5,0.220994475138122
Precision,argumentagainst,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.15625,16.3114836215973,51.8702046871185,1,0.205696202531646
Precision,argumentagainst,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.215873015873016,16.346645116806,52.0136156082153,2,0.205696202531646
Precision,argumentagainst,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.138084632516704,16.3467164039612,51.9602880477905,3,0.205696202531646
Precision,argumentagainst,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.243137254901961,16.3405411243439,51.9759256839752,4,0.205696202531646
Precision,argumentagainst,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0,16.3603174686432,52.0646119117737,5,0.205696202531646
Precision,argumentfor,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.228658536585366,16.3114836215973,51.8702046871185,1,0.237911025145068
Precision,argumentfor,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.276073619631902,16.346645116806,52.0136156082153,2,0.237911025145068
Precision,argumentfor,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.207951070336391,16.3467164039612,51.9602880477905,3,0.237911025145068
Precision,argumentfor,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.24901185770751,16.3405411243439,51.9759256839752,4,0.237911025145068
Precision,argumentfor,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.182,16.3603174686432,52.0646119117737,5,0.237911025145068
Precision,claimagainst,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.215686274509804,16.3114836215973,51.8702046871185,1,0.280487804878049
Precision,claimagainst,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.561904761904762,16.346645116806,52.0136156082153,2,0.280487804878049
Precision,claimagainst,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.32,16.3467164039612,51.9602880477905,3,0.280487804878049
