measure,label,model,dataset,arch,pvp,sampling,nshot,sample,value,time_train,time_test,run,majority
Accuracy,Overall,xlmroberta-large,ukraine,pet,prompt,equal,10,1,0.317,,,1,0.262
Accuracy,Overall,xlmroberta-large,ukraine,pet,prompt,equal,10,1,0.463,,,2,0.262
Accuracy,Overall,xlmroberta-large,ukraine,pet,prompt,equal,10,1,0.28,,,3,0.262
Accuracy,Overall,xlmroberta-large,ukraine,pet,prompt,equal,10,1,0.184,,,4,0.262
Accuracy,Overall,xlmroberta-large,ukraine,pet,prompt,equal,10,1,0.246,,,5,0.262
F1,Overall,xlmroberta-large,ukraine,pet,prompt,equal,10,1,0.307126761392483,,,1,0.245749876756379
F1,Overall,xlmroberta-large,ukraine,pet,prompt,equal,10,1,0.442810435647872,,,2,0.245749876756379
F1,Overall,xlmroberta-large,ukraine,pet,prompt,equal,10,1,0.274115505322217,,,3,0.245749876756379
F1,Overall,xlmroberta-large,ukraine,pet,prompt,equal,10,1,0.176959036548652,,,4,0.245749876756379
F1,Overall,xlmroberta-large,ukraine,pet,prompt,equal,10,1,0.236701384218063,,,5,0.245749876756379
F1,argumentagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,1,0.259259259259259,,,1,0.320872274143302
F1,argumentagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,1,0.37280701754386,,,2,0.320872274143302
F1,argumentagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,1,0.347826086956522,,,3,0.320872274143302
F1,argumentagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,1,0.231671554252199,,,4,0.320872274143302
F1,argumentagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,1,0.27027027027027,,,5,0.320872274143302
F1,argumentfor,xlmroberta-large,ukraine,pet,prompt,equal,10,1,0.323777403035413,,,1,0.34954954954955
F1,argumentfor,xlmroberta-large,ukraine,pet,prompt,equal,10,1,0.365740740740741,,,2,0.34954954954955
F1,argumentfor,xlmroberta-large,ukraine,pet,prompt,equal,10,1,0.341753343239227,,,3,0.34954954954955
F1,argumentfor,xlmroberta-large,ukraine,pet,prompt,equal,10,1,0.224299065420561,,,4,0.34954954954955
F1,argumentfor,xlmroberta-large,ukraine,pet,prompt,equal,10,1,0.315315315315315,,,5,0.34954954954955
F1,claimagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,1,0.285714285714286,,,1,0.163265306122449
