measure,label,model,dataset,arch,sampling,nshot,sample,value,time_train,time_test,pattern,verbalizer,run,majority,pvp
Accuracy,Overall,xlmroberta-large,ukraine,lora,equal,10,1,0.224,27.7439787387848,47.4342415332794,prompt,alpha,1,0.265,prompt
Accuracy,Overall,xlmroberta-large,ukraine,lora,equal,10,1,0.269,27.8498299121857,47.3834867477417,prompt,alpha,2,0.265,prompt
Accuracy,Overall,xlmroberta-large,ukraine,lora,equal,10,1,0.258,27.942321062088,47.3282008171082,prompt,alpha,3,0.265,prompt
Accuracy,Overall,xlmroberta-large,ukraine,lora,equal,10,1,0.293,28.0344042778015,47.4336042404175,prompt,alpha,4,0.265,prompt
Accuracy,Overall,xlmroberta-large,ukraine,lora,equal,10,1,0.261,27.8532230854034,47.4139852523804,prompt,alpha,5,0.265,prompt
F1,Overall,xlmroberta-large,ukraine,lora,equal,10,1,0.213833509586648,27.7439787387848,47.4342415332794,prompt,alpha,1,0.252279345250649,prompt
F1,Overall,xlmroberta-large,ukraine,lora,equal,10,1,0.266020528799671,27.8498299121857,47.3834867477417,prompt,alpha,2,0.252279345250649,prompt
F1,Overall,xlmroberta-large,ukraine,lora,equal,10,1,0.212789098448646,27.942321062088,47.3282008171082,prompt,alpha,3,0.252279345250649,prompt
F1,Overall,xlmroberta-large,ukraine,lora,equal,10,1,0.283012831990314,28.0344042778015,47.4336042404175,prompt,alpha,4,0.252279345250649,prompt
F1,Overall,xlmroberta-large,ukraine,lora,equal,10,1,0.240893215632617,27.8532230854034,47.4139852523804,prompt,alpha,5,0.252279345250649,prompt
F1,argumentagainst,xlmroberta-large,ukraine,lora,equal,10,1,0.318681318681319,27.7439787387848,47.4342415332794,prompt,alpha,1,0.313846153846154,prompt
F1,argumentagainst,xlmroberta-large,ukraine,lora,equal,10,1,0.324200913242009,27.8498299121857,47.3834867477417,prompt,alpha,2,0.313846153846154,prompt
F1,argumentagainst,xlmroberta-large,ukraine,lora,equal,10,1,0.301369863013699,27.942321062088,47.3282008171082,prompt,alpha,3,0.313846153846154,prompt
F1,argumentagainst,xlmroberta-large,ukraine,lora,equal,10,1,0.311688311688312,28.0344042778015,47.4336042404175,prompt,alpha,4,0.313846153846154,prompt
F1,argumentagainst,xlmroberta-large,ukraine,lora,equal,10,1,0.263736263736264,27.8532230854034,47.4139852523804,prompt,alpha,5,0.313846153846154,prompt
F1,argumentfor,xlmroberta-large,ukraine,lora,equal,10,1,0.34,27.7439787387848,47.4342415332794,prompt,alpha,1,0.365284974093264,prompt
F1,argumentfor,xlmroberta-large,ukraine,lora,equal,10,1,0.353333333333333,27.8498299121857,47.3834867477417,prompt,alpha,2,0.365284974093264,prompt
F1,argumentfor,xlmroberta-large,ukraine,lora,equal,10,1,0.349056603773585,27.942321062088,47.3282008171082,prompt,alpha,3,0.365284974093264,prompt
F1,argumentfor,xlmroberta-large,ukraine,lora,equal,10,1,0.348773841961853,28.0344042778015,47.4336042404175,prompt,alpha,4,0.365284974093264,prompt
F1,argumentfor,xlmroberta-large,ukraine,lora,equal,10,1,0.354916067146283,27.8532230854034,47.4139852523804,prompt,alpha,5,0.365284974093264,prompt
F1,claimagainst,xlmroberta-large,ukraine,lora,equal,10,1,0.196652719665272,27.7439787387848,47.4342415332794,prompt,alpha,1,0.191919191919192,prompt
F1,claimagainst,xlmroberta-large,ukraine,lora,equal,10,1,0.212962962962963,27.8498299121857,47.3834867477417,prompt,alpha,2,0.191919191919192,prompt
F1,claimagainst,xlmroberta-large,ukraine,lora,equal,10,1,0,27.942321062088,47.3282008171082,prompt,alpha,3,0.191919191919192,prompt
F1,claimagainst,xlmroberta-large,ukraine,lora,equal,10,1,0.195250659630607,28.0344042778015,47.4336042404175,prompt,alpha,4,0.191919191919192,prompt
F1,claimagainst,xlmroberta-large,ukraine,lora,equal,10,1,0.172506738544474,27.8532230854034,47.4139852523804,prompt,alpha,5,0.191919191919192,prompt
F1,claimfor,xlmroberta-large,ukraine,lora,equal,10,1,0,27.7439787387848,47.4342415332794,prompt,alpha,1,0.138067061143984,prompt
F1,claimfor,xlmroberta-large,ukraine,lora,equal,10,1,0.173584905660377,27.8498299121857,47.3834867477417,prompt,alpha,2,0.138067061143984,prompt
F1,claimfor,xlmroberta-large,ukraine,lora,equal,10,1,0.200729927007299,27.942321062088,47.3282008171082,prompt,alpha,3,0.138067061143984,prompt
F1,claimfor,xlmroberta-large,ukraine,lora,equal,10,1,0.276338514680484,28.0344042778015,47.4336042404175,prompt,alpha,4,0.138067061143984,prompt
F1,claimfor,xlmroberta-large,ukraine,lora,equal,10,1,0.172413793103448,27.8532230854034,47.4139852523804,prompt,alpha,5,0.138067061143984,prompt
Precision,argumentagainst,xlmroberta-large,ukraine,lora,equal,10,1,0.238683127572016,27.7439787387848,47.4342415332794,prompt,alpha,1,0.25,prompt
Precision,argumentagainst,xlmroberta-large,ukraine,lora,equal,10,1,0.22397476340694,27.8498299121857,47.3834867477417,prompt,alpha,2,0.25,prompt
